_id,buyer,products,amount,currency,createdAt
ObjectId(564e1a11ac06589859f60653),ObjectId(56e00953928dff90069783a1),"[{""$oid"":""56e008f32323682a06012565""}]",40,SEK,2015-11-19T18:15:54.377Z
ObjectId(5652216332780a54044a9c0c),ObjectId(56e00953928dff90069783a2),"[{""$oid"":""56e008f32323682a06012565""}]",40,SEK,2015-11-19T22:07:16.350Z
ObjectId(5658190732780a54044a9c10),,,90,SEK,2015-11-19T22:07:16.350Z
ObjectId(565b9be032780a54044a9c13),ObjectId(56e00953928dff90069783a3),"[{""$oid"":""56e008f32323682a06012567""}]",100,SEK,2015-11-19T22:07:16.350Z
ObjectId(565bfba432780a54044a9c16),ObjectId(56e00953928dff90069783a4),"[{""$oid"":""56e008f32323682a06012566""}]",90,SEK,2015-11-19T22:07:16.350Z
ObjectId(565edf3032780a54044a9c19),ObjectId(56e00953928dff90069783a5),"[{""$oid"":""56e008f32323682a06012566""}]",90,SEK,2015-11-19T22:07:16.350Z
ObjectId(56606acf47fe0a8231281c3c),ObjectId(56e00953928dff90069783a6),"[{""$oid"":""56e008f32323682a06012566""}]",90,SEK,2015-12-02T21:38:10.113Z
ObjectId(5662d7bf47fe0a8231281c3f),ObjectId(56e00953928dff90069783a7),"[{""$oid"":""56e008f32323682a06012568""}]",250,SEK,2015-12-02T21:38:10.113Z
ObjectId(5665eade47fe0a8231281c42),ObjectId(56e00953928dff90069783a8),"[{""$oid"":""56e008f32323682a06012567""}]",100,SEK,2015-12-02T21:38:10.113Z
ObjectId(56669db847fe0a8231281c45),ObjectId(56e00953928dff90069783a9),"[{""$oid"":""56e008f32323682a06012567""}]",100,SEK,2015-12-02T21:38:10.113Z
ObjectId(5667e9b647fe0a8231281c48),ObjectId(56e00953928dff90069783aa),"[{""$oid"":""56e008f32323682a06012567""}]",100,SEK,2015-12-02T21:38:10.113Z
ObjectId(5668645e47fe0a8231281c4b),ObjectId(56e00953928dff90069783ab),"[{""$oid"":""56e008f32323682a06012565""}]",40,SEK,2015-12-02T21:38:10.113Z
ObjectId(56689d0c47fe0a8231281c4e),ObjectId(56e00953928dff90069783ac),"[{""$oid"":""56e008f32323682a06012566""}]",90,SEK,2015-12-02T21:38:10.113Z
ObjectId(566dd31a61701e376b395ed3),ObjectId(56e00953928dff90069783be),"[{""$oid"":""56e008f32323682a06012567""}]",100,SEK,2015-12-10T18:48:38.619Z
ObjectId(566e78c661701e376b395ed7),ObjectId(56e00953928dff90069783b6),"[{""$oid"":""56e008f32323682a06012567""}]",100,SEK,2015-12-10T18:48:38.619Z
ObjectId(566e80f561701e376b395ed9),ObjectId(56e00953928dff90069783bf),"[{""$oid"":""56e008f32323682a06012568""}]",250,SEK,2015-12-10T18:48:38.619Z
ObjectId(566e97f261701e376b395edc),ObjectId(56e00953928dff90069783c0),"[{""$oid"":""56e008f32323682a06012567""}]",100,SEK,2015-12-10T18:48:38.619Z
ObjectId(566eed1661701e376b395edf),ObjectId(56e00953928dff90069783c1),"[{""$oid"":""56e008f32323682a06012566""}]",90,SEK,2015-12-10T18:48:38.619Z
ObjectId(566fd06061701e376b395ee3),ObjectId(56e00953928dff90069783ba),"[{""$oid"":""56e008f32323682a06012568""}]",250,SEK,2015-12-10T18:48:38.619Z
ObjectId(567179b961701e376b395ee5),ObjectId(56e00953928dff90069783b7),"[{""$oid"":""56e008f32323682a06012565""}]",40,SEK,2015-12-10T18:48:38.619Z
ObjectId(5671908c61701e376b395ee7),ObjectId(56e00953928dff90069783c2),"[{""$oid"":""56e008f32323682a06012568""}]",250,SEK,2015-12-10T18:48:38.619Z
ObjectId(5673df8761701e376b395eea),ObjectId(56e00953928dff90069783c3),"[{""$oid"":""56e008f32323682a06012567""}]",100,SEK,2015-12-10T18:48:38.619Z
ObjectId(567415e361701e376b395eed),ObjectId(56e00953928dff90069783c4),"[{""$oid"":""56e008f32323682a06012566""}]",90,SEK,2015-12-10T18:48:38.619Z
ObjectId(567801bb61701e376b395ef0),ObjectId(56e00953928dff90069783af),"[{""$oid"":""56e008f32323682a06012568""}]",250,SEK,2015-12-10T18:48:38.619Z
ObjectId(56786b0061701e376b395ef2),ObjectId(56e00953928dff90069783ad),"[{""$oid"":""56e008f32323682a06012568""}]",250,SEK,2015-12-10T18:48:38.619Z
ObjectId(567bc68df80c594e3c22d040),ObjectId(56e00953928dff90069783c5),"[{""$oid"":""56e008f32323682a06012567""}]",100,SEK,2015-12-21T23:29:00.341Z
ObjectId(567e4d5ff80c594e3c22d043),ObjectId(56e00953928dff90069783bb),"[{""$oid"":""56e008f32323682a06012568""}]",250,SEK,2015-12-21T23:29:00.341Z
ObjectId(567ea9dcf80c594e3c22d04a),ObjectId(56e00953928dff90069783b1),"[{""$oid"":""56e008f32323682a06012568""}]",250,SEK,2015-12-21T23:29:00.341Z
ObjectId(567ef4fef80c594e3c22d04c),ObjectId(56e00953928dff90069783c6),"[{""$oid"":""56e008f32323682a06012565""}]",40,SEK,2015-12-21T23:29:00.341Z
ObjectId(567f085bf80c594e3c22d04f),ObjectId(56e00953928dff90069783c7),"[{""$oid"":""56e008f32323682a06012566""}]",90,SEK,2015-12-21T23:29:00.341Z
